id,full_text,source
1161300485053136899,Thank you thank you for ALL THE LOVE on the bday collection wow 💙🌊 my fav collection of all time available right now on https://t.co/bDaiohhXCV! I made sure i stocked all the way up for you guys but once it’s gone it’s gone!!!! P.S. Victoria tanning with my PR box is iconic lol https://t.co/X6Is0Ao7Zk,Twitter Web App
1161300424915161088,"RT @kyliecosmetics: 🚨 Our birthday bundles, pink paper jelly kylighter, one in a billion high gloss and birthday Kyliner are SOLD OUT!! Don…",Twitter Web App
1161272290673221632,sweetest love I’ve ever known 💙 https://t.co/HUeEPpn1Le,Twitter for iPhone
1161017283252064257,"Wow the 3 most BEAUTIFUL scents are finally dropping!!! Kylie Jenner x KKW Fragrance collab launches Friday, August 23 at 12pm pst on https://t.co/arlsjD1X4S @kkwfragrance 💗 @KimKardashian https://t.co/AahZfQdHoE",Twitter Web App
1160932491256987648,#BirthdayTour 🇮🇹 https://t.co/SmADLcbvrK,Twitter Web App
1160926857560088582,This beautiful palette available NOW 💗💚 https://t.co/bDaiohhXCV #BirthdayCollection https://t.co/B1xzNoqPDO,Twitter for iPhone
1160627046214594562,watch a new ep of @flipitdisick tonight 🏡 9/8c on E! @ScottDisick before a new @RevengeBody with @khloekardashian at 10/9c 💪🏼 ❤️ https://t.co/OHUfklwZw0,Twitter for iPhone
1160605925108940801,💕 my new hydrating face primer is available now! https://t.co/vkaHkoWswn https://t.co/wUDy0FDV2N,Twitter for iPhone
1160605464368828416,RT @kyliecosmetics: SO. MANY. LOOKS. 😍 You’re So Money Baby palette available now 💸 pic by @Pink4passions https://t.co/3bBEtqdVTI https://t…,Twitter for iPhone
1160399500919201792,My babyyyy 😍😍😍💗💗💗 https://t.co/YdBI9siE5t,Twitter for iPhone
1160272221803143168,RT @kylieskin: Kylie Skin lovers! Pick up Kylie’s first ever face primer! https://t.co/OENCaT3Yii https://t.co/TXunJzOzRb,Twitter for iPhone
1160272214152769537,"RT @kylieskin: new jelly highlighters just dropped, as part of Kylie’s birthday collection! we love to apply on bare skin for a beautiful,…",Twitter for iPhone
1160268602257207296,free shipping today 💸 no minimums 😘 https://t.co/bDaiohhXCV @kyliecosmetics https://t.co/zdgWGGhZBk,Twitter for iPhone
1160220165742583808,we are LIVE with my favorite collection EVER! My 2019 birthday collection https://t.co/bDaiohhXCV!!! https://t.co/2ZyyXsZs0u,Twitter Web App
1160211254633357317,30 MINUTES!!! 😫😍 https://t.co/bDaiohhXCV #BirthdayCollection https://t.co/ayv8U4z73a,Twitter Web App
1160202970576744451,"it’s almost time!! my favorite collection EVER launches in one hour!! plus get free shipping on all orders, no minimum, today only!💗🤑 9am pst https://t.co/bDaiohhXCV #BirthdayCollection https://t.co/n8BbjchCzp",Twitter Web App
1160198553257385984,22 🌻💗✨✨ https://t.co/Sc72Z2vjTs,Twitter Web App
1160198096267034624,"My first liquid Kyliner! I chose a brush tip because I prefer a brush over a felt tip. It creates a sharp line, dries quickly and doesn’t fade or transfer! 9am pst https://t.co/bDaiohhXCV 🖤🎂😍 https://t.co/pveJXQTcCI",Twitter for iPhone
1160190255816794114,"You guys know how much I love my loose setting powders. This is a brand new limited-edition illuminating version. It has the same super soft, lightweight feel on your skin as my loose setting powders, but adds a subtle shimmer. You guys will love! xo 9am https://t.co/bDaiohhXCV https://t.co/TV80UdTSE6",Twitter Web App
1160189226190663681,"Birthday Body Glow 👑✨ After using my Coconut Body Lotion, I apply this to my arms, legs, shoulders, anywhere I want to add a little glow. You can also use this on your cheekbones, nose and anywhere else you like to highlight. 9am pst https://t.co/bDaiohhXCV https://t.co/ZKMA73sTpy",Twitter Web App
1160186020102467584,My Jelly Kylighters are my new favorite product 😍 I'm so excited to be introducing them today in my birthday collection! Thank you @annybeeutee for the vid 😘 https://t.co/bDaiohhXCV 9am pst https://t.co/XIfW8ZyHwO,Twitter for iPhone
1160184572866248704,"My Face Primer is oil free, fragrance free, has coconut water to hydrate and soften skin and aloe extracts to hydrate and soothe skin! Launching at 9am with my #BirthdayCollection on https://t.co/bDaiohhXCV 🎂💕💸 https://t.co/KHi3zQKbbT",Twitter for iPhone
1160184151955214337,I spent a long time perfecting a formula for my first ever Face Primer that was hydrating without leaving skin looking shiny! What I love most about this primer is that it soaks into my skin quickly to create a flawless base for my makeup. I use it after my face moisturizer! 💕 https://t.co/wHE4MVefKX,Twitter for iPhone
1160183485614575616,2.5 hours until my birthday collection drops!!! 😩❤️😍 9am pst https://t.co/bDaiohhXCV https://t.co/31GPQdauNS,Twitter for iPhone
1159940314649378816,"Glam by Ariel using the BIRTHDAY COLLECTION eyeshadow palette, new kyliner, &amp; high gloss launching TOMORROW 9am pst!!!! See you there 🤑🤑💚 @kyliecosmetics https://t.co/bDaiohhXCV https://t.co/NT7BPkGhQt",Twitter Web App
1159858708773400576,"You can get all the details at https://t.co/YR6itV6NWv and look out for my 2019 birthday collection launching on my birthday, tomorrow, August 10 at 9am PST only on https://t.co/bDaiohhXCV @kyliecosmetics @TheEllenShow ❤️",Twitter for iPhone
1159858492485668864,"Then get ready for some very big surprises on Ellen’s season 17 Premiere Week beginning Monday, September 9th!",Twitter for iPhone
1159858184879669248,We going to do something really big for them! To nominate someone all you have to do is go to https://t.co/Z5E0IXcx50 and submit a video telling us who you think deserves it and why. You can even nominate yourself.,Twitter for iPhone
1159858021608017920,"So I am teaming up with my friend Ellen DeGeneres @theellenshow to start a nationwide search to find some incredible people around the country doing incredible things for their families, friends and communities.",Twitter for iPhone
1159857885175640064,"So while I was developing my @KylieCosmetics birthday collection this year, I decided that the best way I can celebrate is to help other people, and give back in a big way!",Twitter for iPhone
1159671671931863040,This was a night to remember 😂 thank you @khloekardashian for joining me in my Get Ready with Me using my brand new @kyliecosmetics Bday Collection! https://t.co/DEHbV1R1bH https://t.co/TAOuAzfu06,Twitter for iPhone
1158775734795587589,My beautiful new Birthday Body Glow launches 8/10 ✨ i like to use this all over my body but it also looks amazing as a highlighter for your face! it’s a must have 😍💸 https://t.co/bDaiohhXCV @kyliecosmetics https://t.co/GIn8BrMZr2,Twitter Web App
1158442837429456896,5 MORE DAYS! 💸  https://t.co/bDaiohhXCV #Birthday2019 https://t.co/6mCWcFwUTS,Twitter Web App
1158177825439961088,RT @khloekardashian: The premiere of @flipitdisick starts at 9/8c on E! Can’t wait to watch @scottdisick 🏠 #FlipItLikeDisick https://t.co/u…,Twitter for iPhone
1158177766178639874,Just a few hours left to shop my #NationalSistersDay 40% off sale! https://t.co/bDaiohhXCV 💕👯‍♀️,Twitter for iPhone
1158169714591272960,RT @kyliecosmetics: 40% off flash sale on all sister collabs! 💗✨ #NationalSistersDay  https://t.co/qckn2PuN7R https://t.co/mWnE7v2F6L,Twitter for iPhone
1158031269239746561,Shop my 40% off flash sale for #NationalSistersDay 💕 https://t.co/VhxlCVi1NC https://t.co/65dqb17IWB,Twitter for iPhone
1157758438903910401,"RT @ultabeauty: Are you ready?? 🚨😱 @kyliecosmetics just dropped her 30(!!) shades of luminous, buildable concealer at ALL Ulta Beauty store…",Twitter for iPhone
1157387170656608256,The Birthday Collection launches 8/10 at 9am pst only on https://t.co/bDaiohhXCV! Thanks for all the love this collection was so much fun to create 🤪💸💗💚 check out my Insta stories to see a closer look! https://t.co/JpDeriNBHG,Twitter Web App
1157109955654144003,RT @RADN219: @KylieJenner   But why this girl makes me die for this gorgeous collection. 🤪💕 https://t.co/XF7Gv1meuy,Twitter for iPhone
1157098165390082048,"RT @bpdprincessa: Why did @KylieJenner have to realise such a bomb birthday collection, ITS MY BIRTHDAY TOMORROW AND I WANT IT NOW, THIS IS…",Twitter for iPhone
1157097469542457348,"RT @kyliemoms: The new collection is super amazing, and I'm proud of you once again. It is beautiful to see that you are so pure in your wo…",Twitter for iPhone
1157097440220069888,"RT @empirebells: this collection just shows how much you continue to learn and grow, i feel like you have learnt so much and keep creating…",Twitter for iPhone
1157095358230515712,RT @MsMiranda03: I don’t think a @kyliecosmetics launch from @KylieJenner has ever spoken to me more just from the packaging alone than her…,Twitter for iPhone
1157095337057611776,RT @courtneymaubach: @KylieJenner Your collections keep getting better and better 🙌🏼,Twitter for iPhone
1157076677844848650,I’m so fucking excited you guys are loving the birthday collection 💗💗💸💸💸💚💚 ok back to revealing..,Twitter for iPhone
1157076484969811968,RT @emmastacey_: One In A Billion High Gloss is 😍😍😍😍 @KylieJenner @kyliecosmetics,Twitter for iPhone
